app_type_code,finance_custom_income_type_desc,asset_type_desc,mean_type_desc,business_type_desc,scene_desc,consume_unt_1d,consume_cnt_1d,consume_amt_1d,cost_amt_1d,subsidy_amt_1d,system_give_amt_1d,system_give_tebean_amt_1d,system_give_gift_amt_1d,system_give_prop_amt_1d,system_give_daibi_amt_1d,return_cnt_1d,return_amt_1d,return_cost_amt_1d,return_subsidy_amt_1d,revenue_amt_1d,cost_revenue_amt_1d,subsidy_revenue_amt_1d,personal_income_amt_1d,profit_amt_1d,dt
shantang,礼物收入,shell_asset,business,帖子,语音,400,442,499263,31385.9,111728.51,12439,,3859,20139,,21,29476,28898,34919,46111,335859.32,49904.14,24878,123327.78,20260130
fengyue,活动补贴,全部,business,家族,语音,935,3332,388718,419705.1,216079.46,49106,,20016,21334,,245,36592,48626,12043,313333,295506.1,70679.54,492180,122774.92,20260130
peipei,活动补贴,tqbean_asset,finance,社交,视频,628,672,490175,309061.82,366871.29,6748,,1501,27482,,1879,45532,49034,25063,335919,190267.69,307929.74,9054,11774.69,20260130
peipei,充值收入,全部,business,趣聊,充值,1638,1011,212073,267773.61,208701.62,32994,,8253,9957,,171,41472,32716,23320,486471,319018.3,85249.61,410079,76205.77,20260130
peipei,充值收入,tqbean_asset,finance,群聊,贝壳分成,554,4067,300383,399815.48,354208.21,48873,,254,728,,1164,15099,9119,43388,419248,317072.42,461241.88,496597,126710.18,20260130
fengyue,充值收入,全部,business,趣聊,送礼,1440,1648,82785,72883.63,23313.23,42296,,43319,30362,,1144,22256,40349,32331,385360,64408.94,402530.73,291766,92616.13,20260130
taqu,活动补贴,tqbean_asset,business,趣聊,语音,381,366,173635,338445.71,255859.83,42108,,1511,46300,,1870,41402,33817,26177,8354,403006.81,21958.91,289626,5735.98,20260130
shantang,礼物收入,shell_asset,business,社交,语音,1815,3908,138144,225577.59,402321.81,45389,,39779,22352,,1470,37982,1526,16854,456458,41715.79,251338.23,382036,116884.73,20260130
shanlian,分成收入,全部,business,群聊,充值,72,768,472163,194464.38,313502.49,23227,,28273,8817,,1054,36625,32252,34789,266683,463373.03,221398.75,461411,76183.39,20260130
fengyue,礼物收入,tqbean_asset,business,帖子,贝壳分成,1963,429,218465,323577.16,442524.54,9047,,38769,1509,,200,47639,12683,36438,200377,4560.76,139721.1,435530,117824.34,20260130
fengyue,礼物收入,tqbean_asset,finance,聊天室,充值,674,993,398421,360515.49,128175.47,34147,,38460,21145,,503,36707,11042,47071,298601,144924.14,36708.92,372924,150697.12,20260130
shanlian,礼物收入,shell_asset,finance,全端,语音,902,1049,294017,119684.24,179203.52,6093,,48196,26793,,440,41917,3689,36988,173739,364356.43,63047.29,382810,78768.64,20260130
taqu,分成收入,全部,business,社交,语音,778,1222,310903,445459.45,183779.98,43485,,43412,35048,,380,10410,34441,10797,375864,268260.67,805.21,400525,22156.61,20260130
shantang,充值收入,shell_asset,finance,趣聊,送礼,894,4177,269609,171424.03,267588.92,19531,,44663,27682,,1856,26837,41886,32454,263392,9236.05,474545.03,146036,64789.55,20260130
peipei,分成收入,shell_asset,business,帖子,游戏,666,4709,249007,167361.48,39674.71,23423,,41692,13150,,1920,31298,21127,22584,358444,393645.8,164876.52,329519,31728.14,20260130
peipei,活动补贴,全部,business,全端,语音,178,527,370018,318056.76,485366.24,25281,,44820,10255,,908,21183,49847,7884,439893,374095.95,58908.15,323536,123763.73,20260130
fengyue,活动补贴,tqbean_asset,business,社交,游戏,832,2913,412683,159146.77,383751.57,42029,,28562,20360,,1252,26430,28875,34693,313970,213383.96,467682.65,4160,182702.99,20260130
