question,conditions
5日线长期波幅新高的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""5日线长期波幅新高"", ""id"": ""1760"", ""classid"": 3, ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
3D打印题材股有哪些？,"[{""date"": ""2025-12-04"", ""factor"": ""3d打印"", ""id"": ""232"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
高股息的股票,"[{""date"": ""2025-12-04"", ""factor"": ""高股息股"", ""id"": ""7215"", ""classid"": 4, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
存在市值退市风险的核电SMR相关股票有哪些,"[{""date"": ""2025-12-05"", ""factor"": ""核电"", ""id"": ""329"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
波动背离预警的股票,"[{""date"": ""2025-12-04"", ""factor"": ""波动背离预警"", ""id"": ""1715"", ""classid"": 2, ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
创新药有哪些股票60日首板新高且ROE.TTM大于0%,"[{""date"": ""2025-12-04"", ""factor"": ""创新药"", ""id"": ""7090"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""60日首板新高"", ""id"": ""1327"", ""classid"": 2, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""ROE"", ""id"": ""c118[4]>0%"", ""classid"": ""3"", ""subclassid"": ""5"", ""back_test_type"": ""2"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
今天的涨停板中，有10日MACD反复金叉的公司。,"[{""date"": ""2025-12-04"", ""factor"": ""当日涨停"", ""id"": ""3925"", ""classid"": ""2"", ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""10日macd反复金叉"", ""id"": ""1460"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
中国液态金属制造领先的上市公司是,"[{""date"": ""2025-12-04"", ""factor"": ""液态金属"", ""id"": ""314"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
60日多次缩量的股票,"[{""date"": ""2025-12-04"", ""factor"": ""60日多次缩量"", ""id"": ""3894"", ""classid"": 3, ""subclassid"": ""9"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
沪市MACD短期强金叉的中科院概念股票？,"[{""date"": ""2025-12-04"", ""factor"": ""沪市等权"", ""id"": ""846"", ""classid"": 1, ""subclassid"": ""7"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""macd短期强金叉"", ""id"": ""1525"", ""classid"": 3, ""subclassid"": ""3"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""中科院系"", ""id"": ""439"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
找出符合CCI变动250日新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""cci变动250日新高"", ""id"": ""1819"", ""classid"": 3, ""subclassid"": ""6"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
中国生产制造门固态电泄的公司,"[{""date"": ""2025-12-04"", ""factor"": ""固态电池"", ""id"": ""663"", ""classid"": 1, ""subclassid"": ""2"", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
5日带量上攻的消费股有哪几只,"[{""date"": ""2025-12-04"", ""factor"": ""5日带量上攻"", ""id"": ""3689"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""酒及饮料|旅游酒店|农副食品|休闲食品|纺织业|服装"", ""id"": ""203|482|171|681|238|152"", ""classid"": """", ""subclassid"": """", ""back_test_type"": ""2"", ""sort_type"": ""0""}]"
120日M-ATR积极的票,"[{""date"": ""2025-12-04"", ""factor"": ""120日m-atr积极"", ""id"": ""3823"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
120日连阴新低的股票有哪些,"[{""date"": ""2025-12-04"", ""factor"": ""120日连阴新低"", ""id"": ""1442"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
行业中ROE后十公司成分股,"[{""date"": ""2025-12-04"", ""factor"": ""行业中roe后十公司成分股"", ""id"": ""3303"", ""classid"": 4, ""subclassid"": ""5"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
选出千V舆情热门及开盘涨幅大于3%的股票,"[{""date"": ""2025-12-04"", ""factor"": ""千v舆情热门"", ""id"": ""3473"", ""classid"": 10, ""subclassid"": ""4"", ""back_test_type"": ""1"", ""sort_type"": ""0""}, {""date"": ""2025-12-04"", ""factor"": ""开盘价涨幅"", ""id"": ""c25>3%"", ""classid"": ""1"", ""subclassid"": ""2"", ""back_test_type"": ""1"", ""sort"": ""降序"", ""sort_type"": ""2""}]"
选出几个120日连阳新高的股票,"[{""date"": ""2025-12-04"", ""factor"": ""120日连阳新高"", ""id"": ""1435"", ""classid"": 3, ""subclassid"": ""1"", ""back_test_type"": ""1"", ""sort_type"": ""0""}]"
